A123BD,    14.50   0.25   1470
X438EW,  1200.00   0.55      6
E120QT,    88.88   0.10  12000
F983IT,   950.00   0.05    222
P945TW,    73.20   0.30   8000
V932GJ,   100.00   0.65  70000
C094UN,    49.00   1.50    200
F219LK,  9000.33   0.00      1
M347OG,    89.40   0.67   1000
X009AZ,   180.00   0.55    523
B906LP,    15.00   2.50   6120
X100VC,   230.00   0.33    890
C456PP,   147.99   3.25     77
A340RT,    23.00   1.25  10000
X999AZ, 10000.00   .025      2
P420JG,   349.75   0.75   1500
R009RE,    89.20   0.30    900
X123XX,  3290.78   0.90    500
U437VB,    99.50   0.60   9999
X982BN,  3450.91   0.10    100
